alpha,filter,flux,lh,logg,meta,teff,vtur,wavelength
0,Liverpool/IOO.SDSS-r,287393.89462283,1.25,0,-0.5,3500,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,277617.56253154,1.25,0.5,-0.5,3500,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,268429.40809583,1.25,1,-0.5,3500,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,262399.34874712,1.25,1.5,-0.5,3500,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,261422.62520197,1.25,2,-0.5,3500,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,267049.32419706,1.25,2.5,-0.5,3500,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,292469.67620849,1.25,3,-0.5,3500,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,342883.66452039,1.25,3.5,-0.5,3500,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,384255.28149774,1.25,4,-0.5,3500,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,411420.19896725,1.25,4.5,-0.5,3500,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,427070.82444527,1.25,5,-0.5,3500,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,405866498.13491,1.25,4,-0.5,36000,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,400145048.55055,1.25,4.5,-0.5,36000,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,393388070.42223,1.25,5,-0.5,36000,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,420449277.06638,1.25,4,-0.5,37000,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,417496922.52487,1.25,4.5,-0.5,37000,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,412300904.17207,1.25,5,-0.5,37000,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,638786.3367537,1.25,0,-0.5,3750,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,636974.82174125,1.25,0.5,-0.5,3750,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,630461.49644044,1.25,1,-0.5,3750,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,621201.24129781,1.25,1.5,-0.5,3750,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,611707.6120231,1.25,2,-0.5,3750,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,604458.86706171,1.25,2.5,-0.5,3750,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,604977.9191482,1.25,3,-0.5,3750,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,632446.59987938,1.25,3.5,-0.5,3750,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,682499.58923669,1.25,4,-0.5,3750,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,718512.1710938,1.25,4.5,-0.5,3750,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,737347.25522766,1.25,5,-0.5,3750,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,433910025.58441,1.25,4,-0.5,38000,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,433226713.82721,1.25,4.5,-0.5,38000,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,429870080.66524,1.25,5,-0.5,38000,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,446766087.22466,1.25,4,-0.5,39000,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,447520067.5051,1.25,4.5,-0.5,39000,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,445932223.96386,1.25,5,-0.5,39000,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,460792301.68841,1.25,4.5,-0.5,40000,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,460559751.82114,1.25,5,-0.5,40000,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,1076971.7615935,1.25,0,-0.5,4000,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,1077853.5898963,1.25,0.5,-0.5,4000,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,1074338.6148357,1.25,1,-0.5,4000,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,1069032.8165519,1.25,1.5,-0.5,4000,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,1063292.1547859,1.25,2,-0.5,4000,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,1058101.714629,1.25,2.5,-0.5,4000,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,1054332.7811516,1.25,3,-0.5,4000,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,1055451.7962317,1.25,3.5,-0.5,4000,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,1076304.1758968,1.25,4,-0.5,4000,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,1114380.8433557,1.25,4.5,-0.5,4000,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,1144393.4435435,1.25,5,-0.5,4000,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,473464968.06375,1.25,4.5,-0.5,41000,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,474045788.93579,1.25,5,-0.5,41000,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,485851338.78173,1.25,4.5,-0.5,42000,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,486727541.60712,1.25,5,-0.5,42000,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,1636791.4420083,1.25,0,-0.5,4250,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,1635468.4613245,1.25,0.5,-0.5,4250,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,1628141.6634576,1.25,1,-0.5,4250,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,1618625.2027566,1.25,1.5,-0.5,4250,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,1609247.4216957,1.25,2,-0.5,4250,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,1602157.7079756,1.25,2.5,-0.5,4250,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,1598098.8246623,1.25,3,-0.5,4250,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,1597996.8203973,1.25,3.5,-0.5,4250,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,1602423.7964766,1.25,4,-0.5,4250,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,1618993.1341091,1.25,4.5,-0.5,4250,2,6120.6481623918
